latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-5.80817,145.63287,337.76,3.53,1.77,2023-09-22,0050,T,91,6.1NRT,287.01,208.21,D
-5.8122,145.66269,326.35,3.55,1.77,2023-09-22,0050,T,84,6.1NRT,287.98,115.1,D
-5.80277,145.62662,326.87,3.53,1.77,2023-09-22,0050,T,85,6.1NRT,286.8,117.85,D
-5.80655,145.65627,328.18,3.55,1.77,2023-09-22,0050,T,85,6.1NRT,287.88,130.47,D
-5.83797,145.77666,310.08,3.64,1.79,2023-09-22,0050,T,15,6.1NRT,279.03,38.46,D
-6.85278,139.19862,313.97,1.2,1.09,2023-09-22,0052,T,68,6.1NRT,277.23,13.63,D
-7.12772,140.55077,323.38,1.47,1.2,2023-09-22,0052,T,0,6.1NRT,287.41,31.52,D
-7.12947,140.56389,318.16,1.48,1.2,2023-09-22,0052,T,0,6.1NRT,284.39,22.78,D
-7.00229,138.67198,310.16,1.13,1.06,2023-09-22,0052,T,49,6.1NRT,292.06,5.86,D
-7.10832,138.91005,323.18,1.16,1.07,2023-09-22,0052,T,80,6.1NRT,294.07,20.03,D
-7.11785,138.90874,317.14,1.16,1.07,2023-09-22,0052,T,54,6.1NRT,289.71,11.76,D
-7.3045,139.44443,323.75,1.25,1.11,2023-09-22,0052,T,80,6.1NRT,296.46,22.51,D
-7.50838,140.33067,316.31,1.44,1.19,2023-09-22,0052,T,72,6.1NRT,279.22,16.66,D
-7.95838,142.52028,311.61,2.15,1.42,2023-09-22,0052,T,0,6.1NRT,294.52,15,D
-7.44616,138.48804,319.14,1.12,1.05,2023-09-22,0052,T,42,6.1NRT,289.66,14.77,D
-7.46881,138.64839,337.04,1.14,1.06,2023-09-22,0052,T,89,6.1NRT,296.64,36.69,D
-7.47824,138.64709,332.31,1.14,1.06,2023-09-22,0052,T,80,6.1NRT,299.17,26.98,D
-7.47967,138.65721,329.15,1.14,1.06,2023-09-22,0052,T,84,6.1NRT,299.85,20.82,D
-7.48863,138.40553,320.01,1.11,1.05,2023-09-22,0052,T,67,6.1NRT,298.41,11.47,D
-8.06722,142.75862,314.88,2.25,1.45,2023-09-22,0052,T,46,6.1NRT,298.9,22.38,D
-7.74555,140.12657,312.78,1.4,1.17,2023-09-22,0052,T,42,6.1NRT,290.86,12,D
-7.76136,139.56998,316,1.29,1.13,2023-09-22,0052,T,65,6.1NRT,295.7,11.2,D
-7.7434,139.05876,311.7,1.21,1.09,2023-09-22,0052,T,55,6.1NRT,291.76,6.32,D
-8.16013,141.76898,319.97,1.89,1.34,2023-09-22,0052,T,75,6.1NRT,298.02,30.04,D
-7.89094,139.54666,352.93,1.29,1.13,2023-09-22,0052,T,97,6.1NRT,300.66,88.01,D
-7.914,138.81839,323.98,1.17,1.08,2023-09-22,0052,T,69,6.1NRT,295.75,18.19,D
-8.11284,140.28596,319.33,1.46,1.19,2023-09-22,0052,T,72,6.1NRT,286.6,20.5,D
-8.17338,140.65909,312.91,1.55,1.23,2023-09-22,0052,T,42,6.1NRT,292.08,10.62,D
-7.99696,139.13286,325.55,1.22,1.1,2023-09-22,0052,T,80,6.1NRT,294.49,22.01,D
-8.32947,141.48473,317.23,1.8,1.32,2023-09-22,0052,T,62,6.1NRT,298.23,17.59,D
-8.33162,141.50081,314.2,1.81,1.32,2023-09-22,0052,T,32,6.1NRT,297.98,11.26,D
-8.06816,139.49872,315.73,1.29,1.13,2023-09-22,0052,T,56,6.1NRT,296.95,9.49,D
-8.22516,140.19893,329.44,1.44,1.19,2023-09-22,0052,T,83,6.1NRT,284.32,37.23,D
-8.33022,140.97963,317.3,1.65,1.26,2023-09-22,0052,T,68,6.1NRT,298.41,15.2,D
-8.57209,142.72493,311.29,2.28,1.46,2023-09-22,0052,T,53,6.1NRT,296.21,15.49,D
-8.58216,142.60158,324.63,2.23,1.45,2023-09-22,0052,T,78,6.1NRT,295.99,51.17,D
-8.58478,142.62137,321.8,2.23,1.45,2023-09-22,0052,T,75,6.1NRT,295.03,40.94,D
-8.58152,142.59598,316.34,2.23,1.45,2023-09-22,0052,T,39,6.1NRT,295.87,24.91,D
-8.58399,142.61581,328.81,2.23,1.45,2023-09-22,0052,T,82,6.1NRT,295.55,66.02,D
-8.47167,141.00897,322.48,1.67,1.27,2023-09-22,0052,T,62,6.1NRT,296.81,22.17,D
-8.64354,141.18018,317.48,1.73,1.29,2023-09-22,0052,T,68,6.1NRT,298.99,15.9,D
-8.71637,140.78622,319.8,1.62,1.25,2023-09-22,0052,T,72,6.1NRT,298.9,18.73,D
-8.71834,140.80061,319.58,1.62,1.25,2023-09-22,0052,T,72,6.1NRT,298.4,19.01,D
-8.76083,141.11185,319.53,1.71,1.28,2023-09-22,0052,T,63,6.1NRT,298.61,21.46,D
-8.71881,140.79475,325.61,1.62,1.25,2023-09-22,0052,T,79,6.1NRT,298.64,31.91,D
-8.76095,141.12155,318.59,1.72,1.29,2023-09-22,0052,T,69,6.1NRT,298.67,19.51,D
-8.87775,141.94339,312.71,2,1.38,2023-09-22,0052,T,44,6.1NRT,293.17,16.93,D
-8.88,141.96121,313.88,2,1.38,2023-09-22,0052,T,60,6.1NRT,292.05,19.51,D
-8.86488,141.20219,317.06,1.75,1.3,2023-09-22,0052,T,60,6.1NRT,298.87,17.71,D
-8.86206,141.19617,315.89,1.75,1.3,2023-09-22,0052,T,66,6.1NRT,298.5,16.41,D
-8.91975,141.64984,313.43,1.9,1.35,2023-09-22,0052,T,60,6.1NRT,297.38,14.98,D
-8.97949,141.64217,320.63,1.9,1.35,2023-09-22,0052,T,74,6.1NRT,297.15,32.56,D
-8.98171,141.65909,324.07,1.9,1.35,2023-09-22,0052,T,78,6.1NRT,298.24,41.2,D
-8.90575,140.91273,321.12,1.66,1.27,2023-09-22,0052,T,60,6.1NRT,299.02,16.52,D
-8.90513,140.90706,326.91,1.66,1.27,2023-09-22,0052,T,79,6.1NRT,298.72,30.75,D
-9.19879,142.83575,320.35,2.38,1.49,2023-09-22,0052,T,64,6.1NRT,286.96,49.24,D
-11.71074,142.0748,323.13,2.26,1.46,2023-09-22,0052,T,29,6.1NRT,303.11,28.26,D
